Local time,,Date,Time,Open,High,Low,Close,Volume
06.01.2020 00:00:00.000 GMT+0100,06.01.2020 00:00:00,06.01.2020,0:00:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:01:00.000 GMT+0100,06.01.2020 00:01:00,06.01.2020,0:01:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:02:00.000 GMT+0100,06.01.2020 00:02:00,06.01.2020,0:02:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:03:00.000 GMT+0100,06.01.2020 00:03:00,06.01.2020,0:03:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:04:00.000 GMT+0100,06.01.2020 00:04:00,06.01.2020,0:04:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:05:00.000 GMT+0100,06.01.2020 00:05:00,06.01.2020,0:05:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:06:00.000 GMT+0100,06.01.2020 00:06:00,06.01.2020,0:06:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:07:00.000 GMT+0100,06.01.2020 00:07:00,06.01.2020,0:07:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:08:00.000 GMT+0100,06.01.2020 00:08:00,06.01.2020,0:08:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:09:00.000 GMT+0100,06.01.2020 00:09:00,06.01.2020,0:09:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:10:00.000 GMT+0100,06.01.2020 00:10:00,06.01.2020,0:10:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:11:00.000 GMT+0100,06.01.2020 00:11:00,06.01.2020,0:11:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:12:00.000 GMT+0100,06.01.2020 00:12:00,06.01.2020,0:12:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:13:00.000 GMT+0100,06.01.2020 00:13:00,06.01.2020,0:13:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:14:00.000 GMT+0100,06.01.2020 00:14:00,06.01.2020,0:14:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:15:00.000 GMT+0100,06.01.2020 00:15:00,06.01.2020,0:15:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:16:00.000 GMT+0100,06.01.2020 00:16:00,06.01.2020,0:16:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:17:00.000 GMT+0100,06.01.2020 00:17:00,06.01.2020,0:17:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:18:00.000 GMT+0100,06.01.2020 00:18:00,06.01.2020,0:18:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:19:00.000 GMT+0100,06.01.2020 00:19:00,06.01.2020,0:19:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:20:00.000 GMT+0100,06.01.2020 00:20:00,06.01.2020,0:20:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:21:00.000 GMT+0100,06.01.2020 00:21:00,06.01.2020,0:21:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:22:00.000 GMT+0100,06.01.2020 00:22:00,06.01.2020,0:22:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:23:00.000 GMT+0100,06.01.2020 00:23:00,06.01.2020,0:23:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:24:00.000 GMT+0100,06.01.2020 00:24:00,06.01.2020,0:24:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:25:00.000 GMT+0100,06.01.2020 00:25:00,06.01.2020,0:25:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:26:00.000 GMT+0100,06.01.2020 00:26:00,06.01.2020,0:26:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:27:00.000 GMT+0100,06.01.2020 00:27:00,06.01.2020,0:27:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:28:00.000 GMT+0100,06.01.2020 00:28:00,06.01.2020,0:28:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:29:00.000 GMT+0100,06.01.2020 00:29:00,06.01.2020,0:29:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:30:00.000 GMT+0100,06.01.2020 00:30:00,06.01.2020,0:30:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:31:00.000 GMT+0100,06.01.2020 00:31:00,06.01.2020,0:31:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:32:00.000 GMT+0100,06.01.2020 00:32:00,06.01.2020,0:32:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:33:00.000 GMT+0100,06.01.2020 00:33:00,06.01.2020,0:33:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:34:00.000 GMT+0100,06.01.2020 00:34:00,06.01.2020,0:34:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:35:00.000 GMT+0100,06.01.2020 00:35:00,06.01.2020,0:35:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:36:00.000 GMT+0100,06.01.2020 00:36:00,06.01.2020,0:36:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:37:00.000 GMT+0100,06.01.2020 00:37:00,06.01.2020,0:37:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:38:00.000 GMT+0100,06.01.2020 00:38:00,06.01.2020,0:38:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:39:00.000 GMT+0100,06.01.2020 00:39:00,06.01.2020,0:39:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:40:00.000 GMT+0100,06.01.2020 00:40:00,06.01.2020,0:40:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:41:00.000 GMT+0100,06.01.2020 00:41:00,06.01.2020,0:41:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:42:00.000 GMT+0100,06.01.2020 00:42:00,06.01.2020,0:42:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:43:00.000 GMT+0100,06.01.2020 00:43:00,06.01.2020,0:43:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:44:00.000 GMT+0100,06.01.2020 00:44:00,06.01.2020,0:44:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:45:00.000 GMT+0100,06.01.2020 00:45:00,06.01.2020,0:45:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:46:00.000 GMT+0100,06.01.2020 00:46:00,06.01.2020,0:46:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:47:00.000 GMT+0100,06.01.2020 00:47:00,06.01.2020,0:47:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:48:00.000 GMT+0100,06.01.2020 00:48:00,06.01.2020,0:48:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:49:00.000 GMT+0100,06.01.2020 00:49:00,06.01.2020,0:49:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:50:00.000 GMT+0100,06.01.2020 00:50:00,06.01.2020,0:50:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:51:00.000 GMT+0100,06.01.2020 00:51:00,06.01.2020,0:51:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:52:00.000 GMT+0100,06.01.2020 00:52:00,06.01.2020,0:52:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:53:00.000 GMT+0100,06.01.2020 00:53:00,06.01.2020,0:53:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:54:00.000 GMT+0100,06.01.2020 00:54:00,06.01.2020,0:54:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:55:00.000 GMT+0100,06.01.2020 00:55:00,06.01.2020,0:55:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:56:00.000 GMT+0100,06.01.2020 00:56:00,06.01.2020,0:56:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:57:00.000 GMT+0100,06.01.2020 00:57:00,06.01.2020,0:57:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:58:00.000 GMT+0100,06.01.2020 00:58:00,06.01.2020,0:58:00,290.947,290.947,290.947,290.947,0
06.01.2020 00:59:00.000 GMT+0100,06.01.2020 00:59:00,06.01.2020,0:59:00,290.947,290.947,290.947,290.947,0
06.01.2020 01:00:00.000 GMT+0100,06.01.2020 01:00:00,06.01.2020,1:00:00,290.947,290.947,290.947,290.947,0
06.01.2020 01:01:00.000 GMT+0100,06.01.2020 01:01:00,06.01.2020,1:01:00,290.947,290.947,290.947,290.947,0
06.01.2020 01:02:00.000 GMT+0100,06.01.2020 01:02:00,06.01.2020,1:02:00,290.947,290.947,290.947,290.947,0
06.01.2020 01:03:00.000 GMT+0100,06.01.2020 01:03:00,06.01.2020,1:03:00,290.947,290.947,290.947,290.947,0
