Local time,,Date,Time,Open,High,Low,Close,Volume
06.01.2020 00:00:00.000 GMT+0100,06.01.2020 00:00:00,06.01.2020,0:00:00,13173.85,13173.85,13173.85,13173.85,0
06.01.2020 00:01:00.000 GMT+0100,06.01.2020 00:01:00,06.01.2020,0:01:00,13173.85,13173.85,13173.85,13173.85,0
06.01.2020 00:02:00.000 GMT+0100,06.01.2020 00:02:00,06.01.2020,0:02:00,13173.85,13173.85,13173.85,13173.85,0
06.01.2020 00:03:00.000 GMT+0100,06.01.2020 00:03:00,06.01.2020,0:03:00,13103.65,13104.8,13099.56,13099.56,0.0241
06.01.2020 00:04:00.000 GMT+0100,06.01.2020 00:04:00,06.01.2020,0:04:00,13099.09,13103.66,13096.56,13100.7,0.0366
06.01.2020 00:05:00.000 GMT+0100,06.01.2020 00:05:00,06.01.2020,0:05:00,13101.795,13104.8,13100.55,13103.66,0.0238
06.01.2020 00:06:00.000 GMT+0100,06.01.2020 00:06:00,06.01.2020,0:06:00,13102.67,13105.16,13100.56,13105.16,0.0088
06.01.2020 00:07:00.000 GMT+0100,06.01.2020 00:07:00,06.01.2020,0:07:00,13105.67,13105.67,13104.65,13104.7,0.0114
06.01.2020 00:08:00.000 GMT+0100,06.01.2020 00:08:00,06.01.2020,0:08:00,13105.3,13106.69,13104.67,13105.8,0.0112
06.01.2020 00:09:00.000 GMT+0100,06.01.2020 00:09:00,06.01.2020,0:09:00,13104.66,13112.7,13104.66,13110.67,0.0166
06.01.2020 00:10:00.000 GMT+0100,06.01.2020 00:10:00,06.01.2020,0:10:00,13111.68,13113.75,13110.8,13111.7,0.0066
06.01.2020 00:11:00.000 GMT+0100,06.01.2020 00:11:00,06.01.2020,0:11:00,13111.17,13111.68,13104.56,13105.59,0.0113
06.01.2020 00:12:00.000 GMT+0100,06.01.2020 00:12:00,06.01.2020,0:12:00,13106.57,13108.2,13105.57,13108.2,0.0163
06.01.2020 00:13:00.000 GMT+0100,06.01.2020 00:13:00,06.01.2020,0:13:00,13108.67,13110.68,13108.67,13110.66,0.0049
06.01.2020 00:14:00.000 GMT+0100,06.01.2020 00:14:00,06.01.2020,0:14:00,13109.8,13110.66,13109.8,13110.66,0.0016
06.01.2020 00:15:00.000 GMT+0100,06.01.2020 00:15:00,06.01.2020,0:15:00,13111.69,13111.7,13109.65,13110.66,0.0077
06.01.2020 00:16:00.000 GMT+0100,06.01.2020 00:16:00,06.01.2020,0:16:00,13111.68,13114.78,13105.59,13105.59,0.0206
06.01.2020 00:17:00.000 GMT+0100,06.01.2020 00:17:00,06.01.2020,0:17:00,13104.7,13105.59,13102.58,13104.57,0.0152
06.01.2020 00:18:00.000 GMT+0100,06.01.2020 00:18:00,06.01.2020,0:18:00,13103.7,13112.8,13103.7,13112.76,0.0326
06.01.2020 00:19:00.000 GMT+0100,06.01.2020 00:19:00,06.01.2020,0:19:00,13113.75,13119.9,13113.75,13117.9,0.0361
06.01.2020 00:20:00.000 GMT+0100,06.01.2020 00:20:00,06.01.2020,0:20:00,13118.76,13125.95,13116.75,13123.85,0.0189
