"Year" "Month" "Day" "BEIERSDORF" "CANON" "CARREFOUR" "GOLDMAN_SACHS" "LOREAL" "LUFTHANSA" "THYSSENKRUPP" "UNITEDHEALTH" "WALMART" "YAMAHA_MOTORS"
2005 1 3 28.626699 3686.669922 35.360001 104.949997 56.450001 10.55 16.299999 43.310001 53.349998 1538
2005 1 4 29.133301 3706.669922 35.619999 104.269997 56.900002 10.63 16.42 42.865002 53.220001 1547
2005 1 5 29.129999 3693.330078 35.400002 103.800003 56.950001 10.52 16.17 43.014999 53.290001 1550
2005 1 6 29.0767 3680 35.73 105.230003 57.299999 10.64 16.309999 43.965 54.049999 1588
2005 1 7 29.07 3686.669922 36.25 104.779999 57.849998 10.65 16.360001 43.615002 53.990002 1597
2005 1 10 28.799999 3686.669922 36.900002 104.980003 57.599998 10.66 16.57 43.799999 53.720001 1597
2005 1 11 29.18 3693.330078 36.66 104.169998 57.049999 10.74 16.450001 43.755001 53.59 1597
2005 1 12 28.446699 3613.330078 37.43 103.269997 56.200001 10.67 16.25 44.044998 54.080002 1607
2005 1 13 28.9333 3546.669922 37.02 102.940002 56.099998 10.67 16.32 44.200001 53.639999 1626
2005 1 14 29.1567 3620 37.470001 104.220001 56.25 10.55 16.51 44.779999 53.990002 1624
2005 1 17 29.2833 3573.330078 37.900002 NA 56.700001 10.57 16.6 NA NA 1605
2005 1 18 29.096701 3580 37.959999 105 56.25 10.54 16.639999 44.400002 54.490002 1619
2005 1 19 28.93 3560 38 104.059998 56.099998 10.34 16.690001 44.139999 53.779999 1653
2005 1 20 28.553301 3506.669922 37.720001 103.400002 55.5 10.23 16.620001 43.314999 53.369999 1620
2005 1 21 28.4233 3486.669922 37.75 103.330002 55.200001 10.19 16.92 44.424999 53.009998 1623
2005 1 24 28.426701 3506.669922 38.57 103.239998 55.200001 10.08 16.379999 44.125 53.07 1631
2005 1 25 28.6667 3486.669922 39 102.860001 55.150002 10.1 16.379999 43.875 53.279999 1603
2005 1 26 29.120001 3540 38.939999 103.260002 55.5 10.29 16.24 43.900002 53.279999 1658
2005 1 27 28.596701 3513.330078 38.970001 104 56 10.21 16.190001 44.23 53.080002 1674
2005 1 28 28.83 3513.330078 38.900002 106.120003 56.75 10.35 16.120001 44.075001 52.43 1684
2005 1 31 28.92 3600 39.549999 107.849998 57.450001 10.72 16.389999 44.450001 52.400002 1701
2005 2 1 29.0667 3613.330078 39.59 108.400002 57.900002 10.76 16.360001 45.34 52.610001 1700
2005 2 2 28.6933 3573.330078 39.459999 108.589996 57.650002 10.85 16.450001 45 53.060001 1702
2005 2 3 29.0667 3613.330078 40.240002 108.739998 57.75 10.82 16.59 45.279999 53.419998 1685
2005 2 4 29.4333 3606.669922 40.700001 110.019997 57.799999 10.94 16.700001 45.884998 53.459999 1670
2005 2 7 29.8333 3646.669922 40.860001 109.589996 57.950001 11.09 16.77 44.465 53.509998 1702
2005 2 8 29.700001 3666.669922 40.580002 111.550003 58.650002 11.08 16.75 44.435001 53.200001 1715
2005 2 9 29.4167 3666.669922 40.41 111.449997 58.349998 11.06 16.6 43.59 52.52 1775
2005 2 10 29.02 3686.669922 40.169998 112.769997 57.900002 10.83 16.700001 44.014999 52.259998 1770
2005 2 11 28.7833 3686.669922 40.330002 112.769997 58.450001 11.06 16.92 43.875 52.099998 1770
2005 2 14 29 3720 39.779999 111.970001 58.150002 11.06 16.73 44.474998 52.150002 1769
2005 2 15 28.9433 3700 40.049999 112.709999 58.25 11.12 16.91 45.099998 52.700001 1760
2005 2 16 28.9533 3700 39.77 112.269997 57.599998 10.99 16.84 44.935001 52.599998 1730
