Date,Year,Month,productivity
1991-01,1991,1,48.3
1991-02,1991,2,47.9
1991-03,1991,3,47.8
1991-04,1991,4,47.4
1991-05,1991,5,49.6
1991-06,1991,6,49
1991-07,1991,7,49.1
1991-08,1991,8,49
1991-09,1991,9,50.6
1991-10,1991,10,51.6
1991-11,1991,11,52
1991-12,1991,12,53.7
1992-01,1992,1,55.2
1992-02,1992,2,53.9
1992-03,1992,3,54.2
1992-04,1992,4,54.1
1992-05,1992,5,53.6
1992-06,1992,6,53.1
1992-07,1992,7,53.9
1992-08,1992,8,53.4
1992-09,1992,9,53.8
1992-10,1992,10,53.4
1992-11,1992,11,52.9
1992-12,1992,12,53.1
1993-01,1993,1,52.7
1993-02,1993,2,53.2
1993-03,1993,3,53.2
1993-04,1993,4,53.6
1993-05,1993,5,53.5
1993-06,1993,6,53
1993-07,1993,7,55.7
1993-08,1993,8,55.6
1993-09,1993,9,56.1
1993-10,1993,10,56.1
1993-11,1993,11,56.9
1993-12,1993,12,57.1
1994-01,1994,1,58.6
1994-02,1994,2,58.5
1994-03,1994,3,59.4
1994-04,1994,4,59.6
1994-05,1994,5,59.9
1994-06,1994,6,60
1994-07,1994,7,60.3
1994-08,1994,8,61
1994-09,1994,9,62.6
1994-10,1994,10,63
1994-11,1994,11,63.1
1994-12,1994,12,62.1
1995-01,1995,1,63.5
1995-02,1995,2,63
1995-03,1995,3,63.4
1995-04,1995,4,63.7
1995-05,1995,5,63.3
1995-06,1995,6,63.2
1995-07,1995,7,62.5
1995-08,1995,8,63.9
1995-09,1995,9,62.4
1995-10,1995,10,63
1995-11,1995,11,63.2
1995-12,1995,12,63.4
1996-01,1996,1,63.5
1996-02,1996,2,63.9
1996-03,1996,3,64.1
1996-04,1996,4,64.9
1996-05,1996,5,65.4
1996-06,1996,6,65
1996-07,1996,7,66.3
1996-08,1996,8,66.8
1996-09,1996,9,66.2
1996-10,1996,10,67.3
1996-11,1996,11,67.4
1996-12,1996,12,66.8
1997-01,1997,1,68.1
1997-02,1997,2,69
1997-03,1997,3,68.9
1997-04,1997,4,68.5
1997-05,1997,5,70.5
1997-06,1997,6,71.7
1997-07,1997,7,69.4
1997-08,1997,8,70.1
1997-09,1997,9,71.1
1997-10,1997,10,71.4
1997-11,1997,11,72.3
1997-12,1997,12,73.1
1998-01,1998,1,72.9
1998-02,1998,2,73.6
1998-03,1998,3,72.9
1998-04,1998,4,73.6
1998-05,1998,5,72.7
1998-06,1998,6,74.2
1998-07,1998,7,72.4
1998-08,1998,8,71.9
1998-09,1998,9,72.5
1998-10,1998,10,71.5
1998-11,1998,11,71.9
1998-12,1998,12,73.2
1999-01,1999,1,71.7
1999-02,1999,2,72.2
1999-03,1999,3,72.8
1999-04,1999,4,73.6
1999-05,1999,5,73.6
1999-06,1999,6,74.3
1999-07,1999,7,74.8
1999-08,1999,8,74.6
1999-09,1999,9,75.5
1999-10,1999,10,75.4
1999-11,1999,11,75.7
1999-12,1999,12,75
2000-01,2000,1,76.7
2000-02,2000,2,76.7
2000-03,2000,3,77.7
2000-04,2000,4,79.6
2000-05,2000,5,77.4
2000-06,2000,6,78.9
2000-07,2000,7,79.6
2000-08,2000,8,79.7
2000-09,2000,9,79.4
2000-10,2000,10,79.8
2000-11,2000,11,80.2
2000-12,2000,12,79.8
2001-01,2001,1,80.7
2001-02,2001,2,79.4
2001-03,2001,3,77.9
2001-04,2001,4,79.1
2001-05,2001,5,79.3
2001-06,2001,6,77
2001-07,2001,7,79.2
2001-08,2001,8,78.3
2001-09,2001,9,77.1
2001-10,2001,10,76.4
2001-11,2001,11,77
2001-12,2001,12,77.6
2002-01,2002,1,78.5
2002-02,2002,2,78.8
2002-03,2002,3,79.1
2002-04,2002,4,78.6
2002-05,2002,5,80.8
2002-06,2002,6,79.6
2002-07,2002,7,81.4
2002-08,2002,8,80.8
2002-09,2002,9,80
2002-10,2002,10,81.7
2002-11,2002,11,80.5
2002-12,2002,12,81.2
2003-01,2003,1,81.3
2003-02,2003,2,81.4
2003-03,2003,3,81.2
2003-04,2003,4,81
2003-05,2003,5,80.6
2003-06,2003,6,82.6
2003-07,2003,7,80.8
2003-08,2003,8,81
2003-09,2003,9,83.2
2003-10,2003,10,84.5
2003-11,2003,11,84.8
2003-12,2003,12,84.5
2004-01,2004,1,85.2
2004-02,2004,2,84.4
2004-03,2004,3,85.8
2004-04,2004,4,86.8
2004-05,2004,5,86.4
2004-06,2004,6,87.5
2004-07,2004,7,86.8
2004-08,2004,8,86.7
2004-09,2004,9,87.7
2004-10,2004,10,86.3
2004-11,2004,11,86.3
2004-12,2004,12,89
2005-01,2005,1,87.6
2005-02,2005,2,88.9
2005-03,2005,3,89.8
2005-04,2005,4,88.6
2005-05,2005,5,90.7
2005-06,2005,6,92.3
2005-07,2005,7,89.8
2005-08,2005,8,92.2
2005-09,2005,9,94.1
2005-10,2005,10,93
2005-11,2005,11,92.9
2005-12,2005,12,93.5
2006-01,2006,1,93.9
2006-02,2006,2,93.2
2006-03,2006,3,95.5
2006-04,2006,4,96.8
2006-05,2006,5,96.1
2006-06,2006,6,97.7
2006-07,2006,7,98.4
2006-08,2006,8,98.2
2006-09,2006,9,98
2006-10,2006,10,99.8
2006-11,2006,11,100.5
2006-12,2006,12,100.6
2007-01,2007,1,100.9
2007-02,2007,2,101.3
2007-03,2007,3,100.2
2007-04,2007,4,101.7
2007-05,2007,5,101.5
2007-06,2007,6,102
2007-07,2007,7,101.9
2007-08,2007,8,103
2007-09,2007,9,103
2007-10,2007,10,102.7
2007-11,2007,11,103.6
2007-12,2007,12,104.6
2008-01,2008,1,103.7
2008-02,2008,2,102.9
2008-03,2008,3,103.1
2008-04,2008,4,100.6
2008-05,2008,5,101.5
2008-06,2008,6,99.7
2008-07,2008,7,101.7
2008-08,2008,8,99.3
2008-09,2008,9,97.2
2008-10,2008,10,93.2
2008-11,2008,11,89.6
2008-12,2008,12,83
2009-01,2009,1,80.8
2009-02,2009,2,81.4
2009-03,2009,3,79.5
2009-04,2009,4,83.5
2009-05,2009,5,84.6
2009-06,2009,6,84.2
2009-07,2009,7,85.8
2009-08,2009,8,89.9
2009-09,2009,9,88.1
2009-10,2009,10,89.1
2009-11,2009,11,89.3
2009-12,2009,12,90.7
2010-01,2010,1,90.4
2010-02,2010,2,93.3
2010-03,2010,3,95.2
2010-04,2010,4,98
2010-05,2010,5,97.8
2010-06,2010,6,97.1
2010-07,2010,7,98.7
2010-08,2010,8,99.9
2010-09,2010,9,101.8
2010-10,2010,10,101
2010-11,2010,11,102.3
2010-12,2010,12,101.9
2011-01,2011,1,102.7
2011-02,2011,2,102.9
2011-03,2011,3,103.1
2011-04,2011,4,104.1
2011-05,2011,5,102.3
2011-06,2011,6,105.1
2011-07,2011,7,104.1
2011-08,2011,8,102.1
2011-09,2011,9,103
2011-10,2011,10,101.9
2011-11,2011,11,100.6
2011-12,2011,12,100.8
2012-01,2012,1,100.4
2012-02,2012,2,101.4
2012-03,2012,3,99.4
2012-04,2012,4,101.2
2012-05,2012,5,99.8
2012-06,2012,6,100.7
2012-07,2012,7,100.5
2012-08,2012,8,99.5
2012-09,2012,9,98
2012-10,2012,10,97.4
2012-11,2012,11,98
2012-12,2012,12,96.9
2013-01,2013,1,97.5
2013-02,2013,2,98.8
2013-03,2013,3,99
2013-04,2013,4,98.3
2013-05,2013,5,100.1
2013-06,2013,6,98.4
2013-07,2013,7,100.4
2013-08,2013,8,99.9
2013-09,2013,9,99.2
2013-10,2013,10,101.2
2013-11,2013,11,101.4
2013-12,2013,12,100.8
2014-01,2014,1,101
2014-02,2014,2,101.1
2014-03,2014,3,100.7
2014-04,2014,4,99.8
2014-05,2014,5,99.7
2014-06,2014,6,101.7
2014-07,2014,7,97.6
2014-08,2014,8,99.9
2014-09,2014,9,100.1
2014-10,2014,10,100.1
2014-11,2014,11,101.7
2014-12,2014,12,99.3
2015-01,2015,1,99.9
2015-02,2015,2,99.8
2015-03,2015,3,100.4
2015-04,2015,4,100.3
2015-05,2015,5,99.9
2015-06,2015,6,101.4
2015-07,2015,7,98.7
2015-08,2015,8,99.1
2015-09,2015,9,99.6
2015-10,2015,10,98.9
2015-11,2015,11,99.4
2015-12,2015,12,101.4
2016-01,2016,1,101.2
2016-02,2016,2,100.1
2016-03,2016,3,100.7
2016-04,2016,4,98.8
2016-05,2016,5,100.7
2016-06,2016,6,99.2
2016-07,2016,7,101.1
2016-08,2016,8,100.6
2016-09,2016,9,100.9
2016-10,2016,10,100.9
2016-11,2016,11,99
2016-12,2016,12,100.7
2017-01,2017,1,101.5
2017-02,2017,2,100.9
2017-03,2017,3,101.9
2017-04,2017,4,102.1
2017-05,2017,5,101.5
2017-06,2017,6,102.3
2017-07,2017,7,104.4
2017-08,2017,8,103.3
2017-09,2017,9,101
2017-10,2017,10,105.2
2017-11,2017,11,104.2
2017-12,2017,12,103.7
2018-01,2018,1,101.4
2018-02,2018,2,102.5
2018-03,2018,3,101.7
2018-04,2018,4,103.2
2018-05,2018,5,102.4
2018-06,2018,6,100.4
2018-07,2018,7,100.4
2018-08,2018,8,100.2
2018-09,2018,9,99.3
2018-10,2018,10,98
2018-11,2018,11,98.5
2018-12,2018,12,97.2
2019-01,2019,1,97.5
2019-02,2019,2,98.1
2019-03,2019,3,95.7
2019-04,2019,4,96.6
2019-05,2019,5,95.2
2019-06,2019,6,94.8
2019-07,2019,7,95.8
2019-08,2019,8,94.8
2019-09,2019,9,93.2
